method,model,execFolder,round,value
PT-20,hier.HierarchicalRockets$Builder,exec_39,6,-473.09660768126923
PT-20,hier.HierarchicalRockets$Builder,exec_39,7,-472.4282356938812
PT-20,hier.HierarchicalRockets$Builder,exec_39,8,-474.70135354314283
PT-20,hier.HierarchicalRockets$Builder,exec_39,9,-474.3480536267605
PT-20,hier.HierarchicalRockets$Builder,exec_39,10,-473.6047273146884
PT-20,hier.HierarchicalRockets$Builder,exec_39,11,-474.1209300493484
PT-20,hier.HierarchicalRockets$Builder,exec_39,12,-474.34937766255325
PT-20,hier.HierarchicalRockets$Builder,exec_39,13,-474.19697569094365
SAIS,demos.DiscreteMultimodal$Builder,exec_3,0,4.079130635238797
SAIS,demos.DiscreteMultimodal$Builder,exec_3,1,4.212114433520897
SAIS,demos.DiscreteMultimodal$Builder,exec_3,2,4.213498900774184
SAIS,demos.DiscreteMultimodal$Builder,exec_3,3,4.270310354150434
SAIS,demos.DiscreteMultimodal$Builder,exec_3,4,4.161884909859506
SAIS,demos.DiscreteMultimodal$Builder,exec_3,5,4.16228222032297
SAIS,demos.DiscreteMultimodal$Builder,exec_3,6,4.205598806412308
SAIS,demos.DiscreteMultimodal$Builder,exec_3,7,4.169851240092406
SAIS,demos.DiscreteMultimodal$Builder,exec_3,8,4.219432983714574
SAIS,demos.DiscreteMultimodal$Builder,exec_3,9,4.1868403813376585
SAIS,demos.DiscreteMultimodal$Builder,exec_3,10,4.203429474390336
SAIS,demos.DiscreteMultimodal$Builder,exec_3,11,4.208872936473245
SAIS,demos.DiscreteMultimodal$Builder,exec_3,12,4.205562951208817
SAIS,demos.DiscreteMultimodal$Builder,exec_3,13,4.203371205370753
SAIS,demos.DiscreteMultimodal$Builder,exec_3,14,4.204361787645477
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,0,24.95220115815552
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,1,29.055420464206033
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,2,33.26995920976122
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,3,32.41171891705289
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,4,33.961600376966445
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,5,33.73560508668758
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,6,33.37971366400905
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,7,33.3709866458595
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,8,33.305599135225194
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,9,33.30261477454942
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,10,33.438610190125765
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,11,33.32363395814164
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,12,33.42627785316145
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,13,33.38949791228464
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,14,33.393167237011056
PT-10,ode.MRNATransfection$Builder,exec_32,0,-2.7391311407347206E7
PT-10,ode.MRNATransfection$Builder,exec_32,1,-1.4646904801577238E10
PT-10,ode.MRNATransfection$Builder,exec_32,2,-166.84485332833992
PT-10,ode.MRNATransfection$Builder,exec_32,3,-149.95478378492507
PT-10,ode.MRNATransfection$Builder,exec_32,4,3.089189770708458
PT-10,ode.MRNATransfection$Builder,exec_32,5,15.185121576103718
PT-10,ode.MRNATransfection$Builder,exec_32,6,23.737658683335514
PT-10,ode.MRNATransfection$Builder,exec_32,7,21.72534099335794
PT-10,ode.MRNATransfection$Builder,exec_32,8,19.591713220630922
PT-10,ode.MRNATransfection$Builder,exec_32,9,17.735172708418528
PT-10,ode.MRNATransfection$Builder,exec_32,10,20.17846883650623
PT-10,ode.MRNATransfection$Builder,exec_32,11,19.471818235277286
PT-10,ode.MRNATransfection$Builder,exec_32,12,19.677189449249315
PT-10,ode.MRNATransfection$Builder,exec_32,13,19.1981258228331
PT-10,ode.MRNATransfection$Builder,exec_32,14,19.307221790568967
PT-20,demos.XY$Builder,exec_23,0,13.107845153925819
PT-20,demos.XY$Builder,exec_23,1,15.978987898383135
PT-20,demos.XY$Builder,exec_23,2,15.869143445549035
PT-20,demos.XY$Builder,exec_23,3,16.407894879091405
PT-20,demos.XY$Builder,exec_23,4,16.272254336825654
PT-20,demos.XY$Builder,exec_23,5,16.001795560223908
PT-20,demos.XY$Builder,exec_23,6,15.940527766910899
PT-20,demos.XY$Builder,exec_23,7,15.868471168626474
PT-20,demos.XY$Builder,exec_23,8,16.002160205960692
PT-20,demos.XY$Builder,exec_23,9,15.972860934510727
PT-20,demos.XY$Builder,exec_23,10,15.890137363190142
PT-20,demos.XY$Builder,exec_23,11,15.908570069915548
PT-20,demos.XY$Builder,exec_23,12,15.977703586394117
PT-20,demos.XY$Builder,exec_23,13,15.928512964884892
SSMC,demos.DiscreteMultimodal$Builder,exec_2,0,4.054303049409689
