method,model,execFolder,round,isAdapt,beta,value
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.49,3.8094651532909656
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.5,3.82639260416223
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.51,3.847543734197164
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.52,3.9037054011451158
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.53,4.010278404993578
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.54,4.1099398045138935
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.55,4.171798270790715
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.56,4.227386147558423
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.57,4.278530759593517
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.58,4.325530184382584
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.59,4.368682499412211
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.6,4.4082857821689885
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.61,4.444638110139502
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.62,4.478037560810341
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.63,4.508782211668092
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.64,4.537170140199343
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.65,4.563499423890685
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.66,4.588068140228702
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.67,4.611174366699986
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.68,4.63311618079112
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.69,4.6541916599886965
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.7,4.674698881779301
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.71,4.6949359236495205
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.72,4.715200863085947
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.73,4.735791777575164
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.74,4.757006744603763
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.75,4.77914384165833
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.76,4.8025011462254525
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.77,4.827376735791721
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.78,4.8540686878437205
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.79,4.8828750798680405
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.8,4.91409398935127
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.81,4.948023493779994
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.82,4.984961670640803
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.83,5.025206597420284
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.84,5.069056351605025
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.85,5.116809010681614
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.86,5.168762652136638
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.87,5.225215353456689
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.88,5.2864651921283485
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.89,5.355510402325736
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.9,5.43646588895918
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.91,5.527054700466142
