method,model,execFolder,round,isAdapt,nExplorationSteps,value
SSMC,demos.PhylogeneticTree$Builder,exec_35,4,true,7500.0,922
SSMC,demos.PhylogeneticTree$Builder,exec_35,5,true,15552.0,1514
SSMC,demos.PhylogeneticTree$Builder,exec_35,6,true,31212.0,2501
SSMC,demos.PhylogeneticTree$Builder,exec_35,7,true,63948.0,5456
SSMC,demos.PhylogeneticTree$Builder,exec_35,8,true,129792.0,11447
SSMC,demos.PhylogeneticTree$Builder,exec_35,9,true,262848.0,15454
SSMC,demos.PhylogeneticTree$Builder,exec_35,10,true,529200.0,28323
SSMC,demos.PhylogeneticTree$Builder,exec_35,11,true,1058508.0,55513
SSMC,demos.PhylogeneticTree$Builder,exec_35,12,true,2126892.0,110195
SSMC,demos.PhylogeneticTree$Builder,exec_35,13,true,4262592.0,219450
SSMC,demos.PhylogeneticTree$Builder,exec_35,14,false,8527788.0,437202
PT-20,demos.DiscreteMultimodal$Builder,exec_19,0,true,360,94
PT-20,demos.DiscreteMultimodal$Builder,exec_19,1,true,600,31
PT-20,demos.DiscreteMultimodal$Builder,exec_19,2,true,1200,52
PT-20,demos.DiscreteMultimodal$Builder,exec_19,3,true,2400,65
PT-20,demos.DiscreteMultimodal$Builder,exec_19,4,true,4800,104
PT-20,demos.DiscreteMultimodal$Builder,exec_19,5,true,9600,150
PT-20,demos.DiscreteMultimodal$Builder,exec_19,6,true,19200,317
PT-20,demos.DiscreteMultimodal$Builder,exec_19,7,true,38400,648
PT-20,demos.DiscreteMultimodal$Builder,exec_19,8,true,76800,943
PT-20,demos.DiscreteMultimodal$Builder,exec_19,9,true,153600,1785
PT-20,demos.DiscreteMultimodal$Builder,exec_19,10,true,307200,3535
PT-20,demos.DiscreteMultimodal$Builder,exec_19,11,true,614520,6983
PT-20,demos.DiscreteMultimodal$Builder,exec_19,12,true,1228920,14062
PT-20,demos.DiscreteMultimodal$Builder,exec_19,13,false,2457600,28218
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,0,true,1875.0,122
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,1,true,4800.0,50
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,2,true,10800.0,62
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,3,true,21675.0,82
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,4,true,46875.0,108
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,5,true,97200.0,109
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,6,true,195075.0,112
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,7,true,399675.0,191
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,8,true,811200.0,343
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,9,true,1642800.0,361
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,10,true,3307500.0,701
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,11,true,6615675.0,1240
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,12,true,1.3293075E7,2363
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,13,true,2.66412E7,4742
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,14,false,5.3298675E7,8521
PT-20,demos.UnidentifiableProduct$Builder,exec_18,0,true,360,91
PT-20,demos.UnidentifiableProduct$Builder,exec_18,1,true,600,56
PT-20,demos.UnidentifiableProduct$Builder,exec_18,2,true,1200,41
PT-20,demos.UnidentifiableProduct$Builder,exec_18,3,true,2400,91
PT-20,demos.UnidentifiableProduct$Builder,exec_18,4,true,4800,91
PT-20,demos.UnidentifiableProduct$Builder,exec_18,5,true,9600,185
PT-20,demos.UnidentifiableProduct$Builder,exec_18,6,true,19200,398
PT-20,demos.UnidentifiableProduct$Builder,exec_18,7,true,38400,625
PT-20,demos.UnidentifiableProduct$Builder,exec_18,8,true,76800,993
PT-20,demos.UnidentifiableProduct$Builder,exec_18,9,true,153600,1881
PT-20,demos.UnidentifiableProduct$Builder,exec_18,10,true,307200,3769
PT-20,demos.UnidentifiableProduct$Builder,exec_18,11,true,614520,7499
PT-20,demos.UnidentifiableProduct$Builder,exec_18,12,true,1228920,15082
PT-20,demos.UnidentifiableProduct$Builder,exec_18,13,false,2457600,29487
SAIS,demos.UnidentifiableProduct$Builder,exec_1,0,true,150.0,129
SAIS,demos.UnidentifiableProduct$Builder,exec_1,1,true,384.0,33
SAIS,demos.UnidentifiableProduct$Builder,exec_1,2,true,864.0,31
SAIS,demos.UnidentifiableProduct$Builder,exec_1,3,true,1734.0,33
SAIS,demos.UnidentifiableProduct$Builder,exec_1,4,true,3750.0,40
SAIS,demos.UnidentifiableProduct$Builder,exec_1,5,true,7776.0,51
SAIS,demos.UnidentifiableProduct$Builder,exec_1,6,true,15606.0,75
SAIS,demos.UnidentifiableProduct$Builder,exec_1,7,true,31974.0,107
SAIS,demos.UnidentifiableProduct$Builder,exec_1,8,true,64896.0,166
SAIS,demos.UnidentifiableProduct$Builder,exec_1,9,true,131424.0,343
SAIS,demos.UnidentifiableProduct$Builder,exec_1,10,true,264600.0,474
SAIS,demos.UnidentifiableProduct$Builder,exec_1,11,true,529254.0,611
SAIS,demos.UnidentifiableProduct$Builder,exec_1,12,true,1063446.0,1105
SAIS,demos.UnidentifiableProduct$Builder,exec_1,13,true,2131296.0,1664
SAIS,demos.UnidentifiableProduct$Builder,exec_1,14,false,4263894.0,2559
PT-10,demos.XY$Builder,exec_25,0,true,2250,97
PT-10,demos.XY$Builder,exec_25,1,true,3750,27
PT-10,demos.XY$Builder,exec_25,2,true,7500,42
PT-10,demos.XY$Builder,exec_25,3,true,15000,70
